sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
CAV;NA;CUMACHAGUA;Santa Rosalía;Vichada;Aeródromo;4.0167;-70.8833;CORREGIMIENTO(MUNICIPIO);CORREGIMIENTO(MUNICIPIO);547;35;2500;06 | 24;440;3660;NA;NA;1A;Público;22;99;99624,,,
CBA;NA;LOS GAVANES;Cabuyaro;Meta;Aeródromo;4.2078;-72.9822;FAGAN S. EN C.;FAGAN S. EN C.;680;15;2000;07 | 25;850;5185;NA;03/10/2016;1A;Fumigación;21;50;50124,,,
CBR;NA;EL CARMEN DE BOLIVAR;El Carmen de Bolívar;Bolívar;Aeródromo;9.6842;-75.1261;MUNICIPIO;MUNICIPIO;1500;28;12202;03 | 21;590;247;NA;NA;3C;Público;73;13;13244,,,
CBU;NA;PETRIBA;Cabuyaro;Meta;Aeródromo;4.3617;-72.8275;GRACER S.A.;ASAM LTDA;850;10;2000;07 | 25;620;2003;NA;42514;1A;Fumigación;1;50;50124,,,
CBY;NA;LA ARABIA;Cabuyaro;Meta;Aeródromo;4.3933;-72.9892;GERMAN REYES GARCIA;SADELL  LTDA.;800;10;2000;01 | 19;577;4736;NA;11/09/2015;1A;Fumigación;6;50;50124,,,
CCH;NA;EL PACIFICO;Cartagena del Chairá;Caquetá;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;18;18150,,,
CDA;NA;LA ESMERALDA - CA;Candelaria;Valle del Cauca;Aeródromo;3.38;-76.3983;INCAUCA S.A.;INCAUCA S.A.;250;10;500;10 | 28;3166;2957;NA;NA;1A;Fumigación;21;76;76130,,,
CDY;NA;CIUDAD YARI;San Vicente del Caguán;Caquetá;Aeródromo;1.5833;-73.8667;MUNICIPIO;MUNICIPIO;880;40;12202;15 | 33;1000;3660;NA;NA;1A;Público;5;18;18753,,,
CEB;NA;EL CEBRUNO;Ayapel;Córdoba;Aeródromo;8.3292;-75.1323;MUNICIPIO AYAPEL;MUNICIPIO AYAPEL;944;15;5670;09 | 27;1280;7092;NA;NA;2A;Público;125;23;23068,,,
CFB;NA;CALIFORNIA;Morales;Bolívar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;13;13473,,,
